Leading	Gene names	Protein names	Total Peptides	Unique peptides	Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Mol. weight [kDa]	Sequence coverage [%]	Fold Change RNAi/CONTROL	p-value	LFQ intensity RNAi_1	Imputed (0=no/1=yes)	LFQ intensity RNAi_2	Imputed (0=no/1=yes)	LFQ intensity RNAi_3	Imputed (0=no/1=yes)	LFQ intensity Control_1	Imputed (0=no/1=yes)	LFQ intensity Control_2	Imputed (0=no/1=yes)	LFQ intensity Control_3	Imputed (0=no/1=yes)	GlyGly (K) site positions
	RAD50	DNA repair protein RAD50	23	23	Q92878	Q92878	23	23	23	153.89	16.2	2.33898076906147	0.017069861602697	27.4682	0	27.4343	0	27.6194	0	26.8682	0	26.1416	0	25.8344	0	
	CUL2	Cullin-2	13	13	Q13617	Q13617	13	13	13	86.982	18.3	7.67331510261633	0.00164092979221	26.8403	0	26.3968	0	27.1877	0	24.2303	0	23.2422	0	24.1327	0	
	IFT81	Intraflagellar transport protein 81 homolog	11	11	Q8WYA0	Q8WYA0	11	11	11	79.745	19.5	2.38031086561279	0.013582508953816	25.7658	0	25.5845	0	26.0612	0	24.7502	0	24.0323	0	24.8755	0	
	FUBP3	Far upstream element-binding protein 3	11	9	Q96I24	Q96I24	11	9	9	61.64	20.3	2.63475716395113	0.044436515878761	25.1172	0	25.5584	0	25.6486	0	23.632	0	23.5479	0	24.9512	0	
	PJA2	E3 ubiquitin-protein ligase Praja-2	9	8	O43164	O43164	9	9	8	78.213	19.1	2.137982434448	0.010484796363903	26.4701	0	26.869	0	26.7893	0	25.9068	0	25.2103	0	25.7225	0	
	SETD3	Histone-lysine N-methyltransferase setd3	8	8	Q86TU7	Q86TU7	8	8	8	67.256	14.3	4.29676239415672	0.021680535256	24.8329	0	23.2947	0	24.968	0	22.4892	1	21.847	1	22.4496	0	
	PSMC6	26S protease regulatory subunit 10B	7	7	P62333	P62333	7	7	7	44.172	15.7	2.09632151285467	0.031833911164232	26.1359	0	25.32	0	26.1797	0	24.705	0	24.5733	0	25.1536	0	
	PRKAR2A	cAMP-dependent protein kinase type II-alpha regulatory subunit	7	7	P13861	P13861	7	7	7	45.518	19.1	3.14918824895509	0.006161408452124	26.118	0	25.7051	0	25.5082	0	23.9982	0	23.7527	0	24.6155	0	
	PES1	Pescadillo homolog	6	6	O00541	O00541	6	6	6	68.002	8.8	2.60969281820377	0.009388149568511	26.539	0	26.1715	0	26.0093	0	24.63	0	24.5826	0	25.3556	0	
	BUB3	Mitotic checkpoint protein BUB3	6	6	O43684	O43684	6	6	6	37.154	21	2.08234628152428	0.022331608215148	25.7358	0	24.931	0	25.8509	0	24.4884	0	24.3661	0	24.4886	0	
	CPD	Carboxypeptidase D	6	6	O75976	O75976	6	6	6	152.93	5.1	4.95505132124673	0.028747494529364	24.5628	0	23.6109	0	24.6911	0	21.4729	1	21.2891	1	23.1761	0	
	WARS	Tryptophan--tRNA ligase, cytoplasmic;T1-TrpRS;T2-TrpRS	6	6	P23381	P23381	6	6	6	53.165	15.9	14.5236282190998	0.003965975253409	25.2376	0	25.4331	0	26.2534	0	20.6783	1	22.1004	1	22.5644	1	366
	SMARCD2	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 2	6	5	Q92925	Q92925	6	6	5	58.92	13.4	2.5748171797983	0.002421196291274	25.9513	0	25.4874	0	25.9285	0	24.6703	0	24.3827	0	24.2208	0	
