leading	Gene names	Protein names	Peptides	Unique peptides	Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Mol. weight [kDa]	Sequence coverage [%]	Fold Change RNAi/CONTROL	p-value	LFQ intensity RNAi_1	imputed (0=no/1=yes)	LFQ intensity RNAi_2	imputed (0=no/1=yes)	LFQ intensity RNAi_3	imputed (0=no/1=yes)	LFQ intensity CONTROL_1	imputed (0=no/1=yes)	LFQ intensity CONTROL_2	imputed (0=no/1=yes)	LFQ intensity CONTROL_3	imputed (0=no/1=yes)	GlyGly (K) site positions
	TTK	Dual specificity protein kinase TTK	2	2	P33981	P33981	2	2	2	97.071	2.3	5.04093027690112	6.22E-04	30.5326	0	30.946	0	30.5548	0	28.5637	0	27.948	0	28.5207	0	
	RNF2	E3 ubiquitin-protein ligase RING2	4	3	Q99496	Q99496	4	4	3	37.655	15.5	2.90260850747416	2.71E-03	24.7371	0	25.2064	0	25.4436	0	23.7535	0	23.3962	0	23.6253	0	
	MARCKS	Myristoylated alanine-rich C-kinase substrate	4	4	P29966	P29966	4	4	4	31.554	21.1	2.30930703490335	8.62E-03	24.6086	0	24.3786	0	24.1377	0	22.797	0	23.1766	0	23.5289	0	
	RPL29	60S ribosomal protein L29	2	2	P47914	P47914	2	2	2	17.752	14.5	3.0522433705239	4.96E-02	23.8083	0	24.4298	0	23.6416	0	21.2982	1	22.9056	0	22.8464	0	
	GABPA	GA-binding protein alpha chain	2	2	Q06546	Q06546	2	2	2	51.295	5.9	3.16246606723843	4.59E-02	21.8707	0	21.9399	0	22.0286	0	19.4621	1	21.4017	0	19.9923	1	
	CREB1;ATF1	Cyclic AMP-responsive element-binding protein 1;Cyclic AMP-dependent transcription factor ATF-1	2	2	P16220;P18846	P16220;P18846	2;1	2;1	2;1	36.688	6.2	2.72040226858797	1.31E-02	21.8505	0	21.7441	0	21.8198	0	20.0423	1	21.0358	0	20.0048	1	
	USP7	Ubiquitin carboxyl-terminal hydrolase 7	9	9	Q93009	Q93009	9	9	9	128.3	10.3	0.071331840074767	2.04E-02	22.2336	0	19.7702	1	18.8068	1	24.1454	0	24.1652	0	23.928	0	
	RNF219	RING finger protein 219	7	7	Q5W0B1	Q5W0B1	7	7	7	81.116	12.1	0.471225657856661	1.78E-03	23.2388	0	23.4656	0	23.6252	0	24.6769	0	24.5565	0	24.3527	0	
	CUL5	Cullin-5	6	6	Q93034	Q93034	6	6	6	90.954	9.6	0.141237001222033	6.62E-04	19.3126	1	19.3879	1	19.9686	1	22.2725	0	22.7844	0	22.0836	0	
	ZC3H15	Zinc finger CCCH domain-containing protein 15	4	4	Q8WU90	Q8WU90	4	4	4	48.602	11.7	0.128098900687512	4.82E-02	19.5406	1	19.1097	1	22.4653	0	23.3065	0	23.3558	0	23.3473	0	
	SCYL2	SCY1-like protein 2	4	4	Q6P3W7	Q6P3W7	4	4	4	103.71	6.8	0.341834520149026	1.40E-02	19.9295	1	20.4862	1	19.9785	1	22.3026	0	21.5329	0	21.2045	0	
	ARHGEF2	Rho guanine nucleotide exchange factor 2	4	4	Q92974	Q92974	4	4	4	111.54	5.5	0.297392465090428	1.16E-03	20.0739	1	20.1078	1	19.9312	1	21.6429	0	22.1904	0	21.5282	0	
	RQCD1	Cell differentiation protein RCD1 homolog	4	4	Q92600	Q92600	4	4	4	33.631	16.7	0.235076136840819	5.11E-03	19.1111	1	19.6392	1	20.3891	1	21.6868	0	21.8403	0	21.8789	0	
	EIF2B3	Translation initiation factor eIF-2B subunit gamma	3	3	Q9NR50	Q9NR50	3	3	3	50.24	9.1	0.459733595013459	2.47E-02	20.5015	0	19.5948	1	20.061	1	21.5382	0	20.9562	0	21.0263	0	
	SMARCB1	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1	3	3	Q12824	Q12824	3	3	3	44.141	12.7	0.229355911890836	4.98E-03	20.261	1	19.0835	1	20.1618	1	21.9379	0	21.9053	0	22.0361	0	
	STOM	Erythrocyte band 7 integral membrane protein	3	3	P27105	P27105	3	3	3	31.73	12.8	0.155116063311887	3.67E-03	18.9353	1	19.9056	1	20.2512	1	22.7554	0	22.0727	0	22.3298	0	
	PHACTR4	Phosphatase and actin regulator 4	3	3	Q8IZ21	Q8IZ21	3	3	3	78.21	5.3	0.24743302921032	2.83E-03	19.5468	1	19.6063	1	19.0845	1	21.6186	0	21.7515	0	20.9121	0	
	EXOC8	Exocyst complex component 8	3	3	Q8IYI6	Q8IYI6	3	3	3	81.798	5.4	0.353271678670942	4.66E-02	19.7618	1	20.6047	1	19.2514	1	22.0343	0	21.2439	0	20.8431	0	
	TMEM43	Transmembrane protein 43	3	3	Q9BTV4	Q9BTV4	3	3	3	44.875	9.2	0.174523110849291	7.45E-03	18.9619	1	18.5917	1	20.2287	1	21.6134	0	21.8259	0	21.8986	0	
