gene	foldChange	pValue	passFilter
CEP170	1.05873	2.44628	YES
PDIA4	1.00299	4.1546	YES
ZNF598	1.18677	3.6377	YES
GPRASP2	1.24675	3.24396	YES
ZC3H15	1.08322	3.59897	YES
DLG3	1.82362	1.51099	YES
MICALL1	2.14099	2.60074	YES
RNF10	3.93933	4.4715	YES
CORO7	1.9052	2.56869	YES
AAMP	2.77436	2.02841	YES
TMEM259	3.00316	3.50863	YES
TCP11L2	1.55662	2.50877	YES
CCDC124	1.94824	2.84352	YES
ARAF	1.19631	1.4922	YES
CCND2	3.32293	3.03061	YES
VHL	2.18483	2.25093	YES
RPL13A	1.70972	2.18454	YES
RPS25	3.58509	2.72988	YES
GNA12	1.19476	1.93587	YES
SEPT6	2.17212	3.02848	YES
FKBP1A	3.0398	1.38484	NO
LMAN2	3.674	1.40268	NO
TSR1	1.32357	1.53827	NO
MINK1	1.90816	1.94396	NO
REPS1	1.10008	2.15186	NO
COG3	1.46006	1.33898	NO
CCDC17	2.58113	1.48549	NO
ZNF768	2.01243	1.38727	NO
C10orf88	1.7227	1.49111	NO
BCAP29	1.25584	1.38637	NO
DNMT3A	1.07842	1.56417	NO
SYNJ1	1.20309	1.41001	NO
TOMM40	1.08094	1.75728	NO
LAP3	1.60716	1.39044	NO
TMED10	1.38652	2.43237	NO
BRCA2	1.36869	1.86385	NO
DGKD	1.0804	2.88203	NO
DPY19L1	1.26701	3.20321	NO
C5orf22	1.31136	3.26568	NO
SH3PXD2A	1.63322	1.30535	NO
WDR73	1.52662	2.74762	NO
IP6K1	1.06601	1.60267	NO
PATZ1	1.32187	1.77429	NO
FBXL3	1.31971	1.34449	NO
DZIP3	-1.22494	3.80498	YES
ODF2	-1.12716	3.23575	YES
MAGED1	-1.11769	4.26304	YES
PRKAR1A	-1.24134	3.04862	YES
FAM184A	-1.46491	1.35083	YES
STX18	-2.36363	3.87351	YES
GK	-1.10816	3.17035	YES
BHLHB9	-2.4383	1.43193	YES
H2AFV	-2.57136	1.43518	YES
CCDC138	-1.06151	1.6482	YES
PKP2	-1.21961	1.40197	YES
CSTF2T	-1.20005	3.36049	YES
RAB24	-1.67805	1.5406	YES
SPOP	-3.32836	2.07436	YES
HIST2H2AC	-1.17075	2.39703	YES
IL6ST	-1.94086	1.374	YES
CA8	-1.24577	1.39612	YES
ARPC5	-2.31292	2.33718	YES
CCDC28A	-1.21336	1.78464	NO
MYL1	-1.90231	2.56759	NO
RPS12	-1.51833	1.34424	NO
ARL1	-1.39897	1.38155	NO
SNRPD2	-1.6471	1.48643	NO
