Leading	Gene names	Protein names	Peptides	Unique peptides	Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Mol. weight [kDa]	Sequence coverage [%]	Fold Change RNAi/Control	p-value	LFQ intensity RNAi_1	imputed (0=no/1=yes)	LFQ intensity RNAi_2	imputed (0=no/1=yes)	LFQ intensity RNAi_3	imputed (0=no/1=yes)	LFQ intensity CONTROL_1	imputed (0=no/1=yes)	LFQ intensity CONTROL_2	imputed (0=no/1=yes)	LFQ intensity CONTROL_3	imputed (0=no/1=yes)	GlyGly (K) site positions
	UBE2L3	Ubiquitin-conjugating enzyme E2 L3	7	7	P68036	P68036	7	7	7	17.861	64.9	4.45334690923573	0.001040902376304	15.0299	0	14.5259	0	15.1551	0	12.6742	0	13.0631	0	12.5089	0	
	RPS7	40S ribosomal protein S7	7	7	P62081	P62081	7	7	7	22.127	32.5	2.50651001750616	0.020931483034475	13.8656	0	13.6415	0	13.0613	0	12.5335	0	12.3881	0	11.6697	0	
	RPS2	40S ribosomal protein S2	7	7	P15880	P15880	7	7	7	31.324	27	18.0310311728472	0.001607755485402	11.9883	0	11.845	0	11.9791	0	8.84657	1	7.08157	1	7.36705	1	
	TSNAX	Translin-associated protein X	5	5	Q99598	Q99598	5	5	5	33.112	25.5	0.040651432443924	5.49490261603475E-05	7.58712	1	7.24239	1	7.51828	1	12.4531	0	12.107	0	11.6494	0	
	GART	Trifunctional purine biosynthetic protein adenosine-3;Phosphoribosylamine--glycine ligase;Phosphoribosylformylglycinamidine cyclo-ligase;Phosphoribosylglycinamide formyltransferase	11	11	P22102	P22102	11	11	11	107.77	14.7	0.054219664637857	0.001338689940739	7.40508	1	7.13956	1	8.19245	1	11.0606	0	11.77	0	12.5217	0	
	UBA6	Ubiquitin-like modifier-activating enzyme 6	9	9	A0AVT1	A0AVT1	9	9	9	117.97	10.8	0.115784175874516	0.000659386422056	8.06289	1	7.89301	1	7.62525	1	10.387	0	11.3674	0	11.1582	0	
	FKBP4	Peptidyl-prolyl cis-trans isomerase FKBP4;Peptidyl-prolyl cis-trans isomerase FKBP4, N-terminally processed	3	3	Q02790	Q02790	3	3	3	51.804	8.3	0.432157768333031	0.048170371977228	8.01464	1	7.52377	1	8.03994	1	9.83088	0	8.87996	1	8.49864	1	
	SRRT	Serrate RNA effector molecule homolog	4	4	Q9BXP5	Q9BXP5	4	4	4	100.67	4.8	0.217660270237992	0.044876605589789	7.54317	1	8.24103	1	7.77392	1	10.8735	0	8.58624	1	10.6979	0	
	PSPH	Phosphoserine phosphatase	3	3	P78330	P78330	3	3	3	25.007	15.1	0.494800889859518	0.026440520482582	7.77594	1	7.19881	1	6.87359	1	8.34187	1	8.04816	1	8.50355	0	
	CPSF2	Cleavage and polyadenylation specificity factor subunit 2	4	4	Q9P2I0	Q9P2I0	4	4	4	88.486	4.1	0.194191236349845	0.027403119210303	6.59412	1	7.46712	1	7.38854	1	10.7592	0	8.6477	1	9.13619	1	
	RPL22	60S ribosomal protein L22	2	2	P35268	P35268	2	2	2	14.787	18.8	0.30171534964826	0.017984567574769	7.75431	1	6.71338	1	7.08407	1	8.59193	1	9.5659	0	8.58014	1	
	HSPBP1	Hsp70-binding protein 1	2	2	Q9NZL4	Q9NZL4	2	2	2	39.474	5.5	0.407615268989729	0.037595857948316	6.96475	1	6.89427	1	8.17468	1	8.74484	1	8.68679	1	8.48623	0	
	NOL11	Nucleolar protein 11	3	3	Q9H8H0	Q9H8H0	3	3	3	81.123	5.3	0.442515532358696	0.031736570904804	6.89806	1	7.38733	1	7.88585	1	8.82944	1	8.11878	1	8.75161	0	
	SEC23IP	SEC23-interacting protein	1	1	Q9Y6Y8	Q9Y6Y8	1	1	1	111.08	0.8	0.367995492440661	0.011546490431532	6.64425	1	7.71223	1	7.24596	1	8.84304	0	8.60066	1	8.48546	1	
	USP47	Ubiquitin carboxyl-terminal hydrolase 47	2	2	Q96K76	Q96K76	2	2	2	157.31	1.5	0.382886845295025	0.007893143527322	7.55645	1	6.90792	1	7.27673	1	8.75629	0	8.22389	1	8.91593	1	
	CAD	CAD protein;Glutamine-dependent carbamoyl-phosphate synthase;Aspartate carbamoyltransferase;Dihydroorotase	2	2	P27708	P27708	2	2	2	242.98	1	0.471408605453299	0.041114972110452	7.42479	1	7.43768	1	7.83437	1	9.18692	1	8.02159	0	8.74316	1	
	DCP1A	mRNA-decapping enzyme 1A	1	1	Q9NPI6	Q9NPI6	1	1	1	63.309	2.6	0.394462483452285	0.038324809076683	7.12884	1	6.77487	1	7.41136	1	7.67983	0	8.62899	1	9.03238	1	
	RECQL	ATP-dependent DNA helicase Q1	5	5	P46063	P46063	5	5	5	73.457	10.6	5.99039028365133	0.015558581530192	8.90574	1	10.5518	0	11.0072	0	7.61094	1	7.57731	1	7.52851	1	
