Leading	Gene names	Protein names	Total Peptides	Unique peptides	Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Mol. weight [kDa]	Sequence coverage [%]	Fold Change RNAi/CONTROL	p-value	LFQ intensity RNAi_1	imputed (0=no/1=yes)	LFQ intensity RNAi_2	imputed (0=no/1=yes)	LFQ intensity RNAi_3	imputed (0=no/1=yes)	LFQ intensity CONTROL_1	imputed (0=no/1=yes)	LFQ intensity CONTROL_2	imputed (0=no/1=yes)	LFQ intensity CONTROL_3	imputed (0=no/1=yes)	GlyGly (K) site positions
	PCNA	Proliferating cell nuclear antigen	10	10	P12004	P12004	10	10	10	28.768	41.4	1.48925	6.51E-04	34.2413	0	34.1251	0	33.7595	0	32.6546	0	32.4738	0	32.5297	0	
	GLUL	Glutamine synthetase	3	3	P15104	P15104	3	3	3	42.064	9.9	1.12251	8.39E-03	29.5985	0	29.8274	0	29.2537	0	28.6829	0	28.1338	0	28.4954	0	
	BCOR	BCL-6 corepressor	5	5	Q6W2J9	Q6W2J9	5	5	5	192.19	3.5	2.42625	4.14E-03	26.8545	0	27.1216	0	26.9661	0	24.7119	1	23.7892	1	25.1623	1	1460
	RRBP1	Ribosome-binding protein 1	11	11	Q9P2E9	Q9P2E9	11	11	11	152.47	10.2	-1.34287	2.09E-02	27.5725	0	27.2615	0	26.5871	0	28.2345	0	28.9178	0	28.2974	0	
	ENAH	Protein enabled homolog	4	4	Q8N8S7	Q8N8S7	4	4	4	66.509	9.6	-1.46178	3.80E-02	26.1721	0	26.8764	0	25.3544	1	27.2364	0	27.8845	0	27.6672	0	
	ACTN1	Alpha-actinin-1	8	3	P12814	P12814	8	3	3	103.06	10.9	-1.03581	1.88E-02	25.4193	1	26.0989	0	25.2754	1	26.8225	0	26.5189	0	26.5596	0	
	USP1	Ubiquitin carboxyl-terminal hydrolase 1	5	5	O94782	O94782	5	5	5	88.206	6.5	-3.51293	5.53E-05	24.6324	1	24.8362	1	24.1943	1	27.979	0	28.1215	0	28.1012	0	
	ANKFY1	Rabankyrin-5	3	3	Q9P2R3	Q9P2R3	3	3	3	128.4	2.4	-1.36675	2.29E-02	25.1638	1	23.9776	1	25.066	1	26.1316	0	26.0717	0	26.1043	0	
	HOOK1	Protein Hook homolog 1	3	3	Q9UJC3	Q9UJC3	3	3	3	84.647	4.4	-1.80901	1.20E-02	24.3715	1	24.7629	1	23.6241	1	25.6246	0	26.475	0	26.0859	0	
	TXNL1	Thioredoxin-like protein 1	2	2	O43396	O43396	2	2	2	32.251	8.3	-1.0527	4.09E-02	25.0261	1	25.3119	1	24.2715	1	25.6872	0	25.8281	0	26.2523	0	
	IKBKG	NF-kappa-B essential modulator	2	2	Q9Y6K9	Q9Y6K9	2	2	2	48.197	5	-2.41002	2.36E-02	24.7428	1	24.8682	1	23.7417	1	27.4671	0	27.4057	0	25.7099	1	
	MARK2	Serine/threonine-protein kinase MARK2	3	3	Q7KZI7;P27448;Q9P0L2	Q7KZI7	3;1;1	3;1;1	3;1;1	87.91	5.6	-1.78009	2.72E-02	24.1616	1	24.7233	1	24.3453	1	26.7713	0	25.2027	1	26.5965	0	
	STAM	Signal transducing adapter molecule 1	2	2	Q92783	Q92783	2	2	2	59.179	5.6	-1.97627	2.61E-02	24.7938	1	24.1433	1	23.7913	1	25.2694	1	26.9192	0	26.4686	0	
	GSR	Glutathione reductase, mitochondrial	2	2	P00390	P00390	2	2	2	56.256	2.7	-1.28498	1.49E-02	24.5694	1	23.9302	1	24.245	1	25.978	0	25.0998	1	25.5217	1	
	EIF2AK2	Interferon-induced, double-stranded RNA-activated protein kinase	2	2	P19525	P19525	2	2	2	62.094	4.7	-1.23617	3.91E-02	24.0966	1	24.02	1	24.3937	1	25.953	1	24.6437	1	25.6221	0	
	SAAL1	Protein SAAL1	2	2	Q96ER3	Q96ER3	2	2	2	53.557	4.6	-1.50232	3.87E-02	23.6212	1	24.5002	1	23.7014	1	25.848	1	25.8554	0	24.6263	1	
	RPRD2	Regulation of nuclear pre-mRNA domain-containing protein 2	2	2	Q5VT52	Q5VT52	2	2	2	156.02	1.9	-1.42942	3.15E-02	23.7665	1	23.6992	1	24.0002	1	25.024	1	26.0851	0	24.6451	1	
	BTN1A1	Butyrophilin subfamily 1 member A1	1	1	Q13410	Q13410	1	1	1	58.959	2.1	-1.23375	1.04E-02	23.7936	1	23.5303	1	23.8688	0	24.9795	1	24.5236	1	25.3909	1	
	CCDC6	Coiled-coil domain-containing protein 6	1	1	Q16204	Q16204	1	1	1	53.29	1.7	-1.89594	6.56E-03	23.8715	1	23.4882	1	22.8555	0	25.2504	1	25.694	1	24.9586	1	
	TPM4	Tropomyosin alpha-4 chain	5	2	P67936	P67936	5	2	2	28.521	16.1	2.55044	3.90E-02	27.2799	0	25.3092	1	28.1206	0	24.1975	1	24.2472	1	24.6136	1	
	SMARCA4	Transcription activator BRG1	4	4	P51532;P51531	P51532	4;1	4;1	4;1	184.64	2.7	2.29752	3.49E-02	26.9385	0	27.5032	0	25.2013	1	24.6958	1	23.888	1	24.1667	1	
	RNF114	E3 ubiquitin-protein ligase RNF114	1	1	Q9Y508	Q9Y508	1	1	1	25.694	4.4	1.74381	3.61E-02	26.3598	1	27.0292	0	25.2278	1	24.1519	1	24.4024	1	24.831	1	
	NARS	Asparagine--tRNA ligase, cytoplasmic	1	1	O43776	O43776	1	1	1	62.942	1.5	1.54692	3.07E-02	25.5067	1	27.0218	0	26.1513	1	24.4604	1	25.0264	1	24.5522	1	
	CAPN15	Calpain-15	1	1	O75808	O75808	1	1	1	117.31	0.8	1.72021	4.00E-02	25.3891	1	27.0394	0	25.2753	1	24.3033	1	24.1604	1	24.0793	1	
	HMBS	Porphobilinogen deaminase	2	2	P08397	P08397	2	2	2	39.33	5.8	1.62961	1.33E-02	24.819	1	25.928	1	25.9503	0	24.1192	1	23.848	1	23.8412	1	
	RAB35	Ras-related protein Rab-35	1	1	Q15286	Q15286	1	1	1	23.025	4	1.23643	7.02E-03	25.6722	1	25.9649	0	25.2938	1	24.5552	1	24.1158	1	24.5506	1	
	JOSD1	Josephin-1	1	1	Q15040	Q15040	1	1	1	23.198	5.9	1.29007	1.74E-02	25.1535	1	25.9279	0	25.0239	1	24.3177	1	23.7459	1	24.1715	1	
	XPO7	Exportin-7	2	2	Q9UIA9	Q9UIA9	2	2	2	123.91	1.7	1.60626	1.05E-02	25.6485	1	26.5486	0	25.6334	1	24.6692	1	24.038	1	24.3045	1	
	ZCCHC3	Zinc finger CCHC domain-containing protein 3	1	1	Q9NUD5	Q9NUD5	1	1	1	43.618	4	1.03666	1.75E-02	25.226	1	25.333	0	24.8761	1	23.9596	1	24.5545	1	23.811	1	
	POLE	DNA polymerase epsilon catalytic subunit A	2	2	Q07864	Q07864	2	2	2	261.51	1	1.21023	4.36E-02	25.4148	1	25.6642	1	24.8999	1	23.9734	1	23.595	0	24.7798	1	
	E4F1	Transcription factor E4F1	1	1	Q66K89	Q66K89	1	1	1	83.495	1.9	1.33343	1.77E-02	24.9002	1	25.2014	1	25.2926	1	23.8662	1	24.3177	1	23.21	0	
	PPP1CB	Serine/threonine-protein phosphatase PP1-beta catalytic subunit	3	1	P62140	P62140	3	1	1	37.186	12.5	1.03045	2.42E-02	25.3062	1	25.5836	1	25.1082	0	24.0222	1	24.8163	1	24.0682	1	
	HSPA1A	Heat shock 70 kDa protein 1A	36	17	P08107	P08107	36	30	17	70.051	53.4	-0.15427	9.03E-03	35.2526	0	35.317	0	35.2272	0	35.4569	0	35.4001	0	35.4025	0	325;451;507;524
	PARP1	Poly [ADP-ribose] polymerase 1	35	35	P09874	P09874	35	35	35	113.08	34.6	0.584174	2.03E-02	33.8535	0	33.4609	0	33.3781	0	33.0894	0	32.9142	0	32.9364	0	
	HNRNPM	Heterogeneous nuclear ribonucleoprotein M	24	24	P52272	P52272	24	24	24	77.515	35.1	0.544203	3.14E-02	32.9914	0	33.1286	0	33.5304	0	32.5926	0	32.6824	0	32.7427	0	381;388
	HSPA5	78 kDa glucose-regulated protein	28	26	P11021	P11021	28	26	26	72.332	44	-0.494542	4.90E-02	32.0513	0	32.3435	0	32.5763	0	32.8004	0	32.6711	0	32.9832	0	
	AMOT	Angiomotin	27	24	Q4VCS5	Q4VCS5	27	27	24	118.08	28.8	0.983154	8.82E-03	31.8546	0	32.1667	0	32.3889	0	31.0414	0	30.9956	0	31.4237	0	
	HSPH1	Heat shock protein 105 kDa	21	18	Q92598	Q92598	21	19	18	96.864	28.6	-0.289856	4.67E-02	31.2753	0	31.5664	0	31.5166	0	31.7048	0	31.838	0	31.685	0	
	XRCC5	X-ray repair cross-complementing protein 5	22	22	P13010	P13010	22	22	22	82.704	35.7	0.599389	8.55E-03	31.8619	0	31.4401	0	31.6306	0	31.093	0	31.0096	0	31.0318	0	
	EIF3B	Eukaryotic translation initiation factor 3 subunit B	14	14	P55884	P55884	14	14	14	92.48	16.2	0.322669	4.06E-02	31.424	0	31.3318	0	31.6111	0	31.2403	0	31.0007	0	31.1579	0	
	GTF2I	General transcription factor II-I	21	21	P78347;Q86UP8;Q6EKJ0	P78347	21;1;1	21;1;1	21;1;1	112.42	23.6	0.240908	1.47E-02	31.3101	0	31.2051	0	31.3346	0	31.0341	0	30.9723	0	31.1207	0	
	UBE2T	Ubiquitin-conjugating enzyme E2 T	9	9	Q9NPD8	Q9NPD8	9	9	9	22.521	37.6	-0.459609	4.42E-02	31.0956	0	31.2666	0	31.5042	0	31.8188	0	31.5411	0	31.8854	0	
	RANGAP1	Ran GTPase-activating protein 1	16	16	P46060	P46060	16	16	16	63.541	30.5	-0.429099	4.04E-03	30.8018	0	30.7843	0	30.7628	0	31.1334	0	31.3547	0	31.1481	0	
	AARS	Alanine--tRNA ligase, cytoplasmic	17	17	P49588	P49588	17	17	17	106.81	23.3	-0.428205	9.04E-03	30.4801	0	30.5769	0	30.7384	0	31.1097	0	30.9373	0	31.033	0	
	USO1	General vesicular transport factor p115	17	17	O60763;REV__Q5VZ89	O60763	17;1	17;1	17;1	107.89	21.2	-0.341562	4.86E-03	30.4863	0	30.6848	0	30.5822	0	30.8873	0	30.9496	0	30.941	0	
	ZC3H14	Zinc finger CCCH domain-containing protein 14	15	15	Q6PJT7	Q6PJT7	15	15	15	82.875	27.3	0.412202	2.59E-02	30.9894	0	30.9344	0	31.3091	0	30.6228	0	30.6692	0	30.7043	0	
	DNAJA1	DnaJ homolog subfamily A member 1	8	8	P31689	P31689	8	8	8	44.868	20.9	0.384401	4.68E-04	31.1591	0	31.1093	0	31.2042	0	30.8183	0	30.7664	0	30.7347	0	
	CANX	Calnexin	13	13	P27824	P27824	13	13	13	67.567	24.5	-0.786832	4.69E-02	30.5013	0	30.0766	0	30.1084	0	30.5469	0	31.1514	0	31.3485	0	380
	TNPO1	Transportin-1	10	10	Q92973;O14787	Q92973	10;3	10;3	10;3	102.35	13.1	-0.362354	3.57E-02	30.5442	0	30.3225	0	30.1728	0	30.7833	0	30.6324	0	30.7109	0	
	SMARCA5	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5	18	18	O60264;P28370	O60264	18;8	18;8	18;8	121.9	17.9	0.449867	8.72E-03	30.8513	0	30.5788	0	30.8073	0	30.3744	0	30.2352	0	30.2781	0	
	ILF3	Interleukin enhancer-binding factor 3	14	14	Q12906;Q96SI9	Q12906	14;2	14;2	14;2	95.337	18	0.11316	3.93E-02	30.5507	0	30.6468	0	30.5716	0	30.5175	0	30.4763	0	30.4358	0	
	NUMA1	Nuclear mitotic apparatus protein 1	24	24	Q14980	Q14980	24	24	24	238.26	14	0.494377	2.15E-02	31.0387	0	30.8915	0	31.2468	0	30.4045	0	30.7036	0	30.5858	0	
	RPA1	Replication protein A 70 kDa DNA-binding subunit;Replication protein A 70 kDa DNA-binding subunit, N-terminally processed	15	15	P27694	P27694	15	15	15	68.137	29.9	0.307696	1.30E-02	30.5188	0	30.3453	0	30.4941	0	30.2384	0	30.1143	0	30.0823	0	489
	UBE2S	Ubiquitin-conjugating enzyme E2 S	6	6	Q16763	Q16763	6	6	6	23.845	31.5	-0.443758	3.18E-02	30.16	0	30.3775	0	30.5789	0	30.6887	0	30.8608	0	30.8983	0	
	MIB1	E3 ubiquitin-protein ligase MIB1	13	13	Q86YT6	Q86YT6	13	13	13	110.13	13.4	0.509197	3.52E-02	30.8907	0	30.9925	0	30.7818	0	30.2219	0	30.6809	0	30.2346	0	
	LMNB2	Lamin-B2	17	17	Q03252	Q03252	17	17	17	67.688	29	0.527951	8.23E-03	30.6242	0	30.3149	0	30.3264	0	29.819	0	29.9127	0	29.9499	0	
	GOLGA4	Golgin subfamily A member 4	7	7	Q13439	Q13439	7	7	7	261.14	3.5	0.679672	1.51E-02	31.0181	0	30.5265	0	30.7692	0	30.0352	0	29.9766	0	30.2629	0	
	IRS4	Insulin receptor substrate 4	10	10	O14654	O14654	10	10	10	133.77	10	0.379469	1.10E-02	30.2624	0	30.2171	0	30.4086	0	29.9944	0	29.961	0	29.7943	0	
	TKT	Transketolase	15	15	P29401	P29401	15	15	15	67.877	30	0.510061	6.04E-03	30.01	0	30.2637	0	30.2942	0	29.7212	0	29.6136	0	29.7029	0	102
	MSH2	DNA mismatch repair protein Msh2	13	13	P43246	P43246	13	13	13	104.74	17.2	0.638657	1.08E-02	30.2578	0	29.91	0	30.1138	0	29.4669	0	29.6217	0	29.277	0	
	NF2	Merlin	12	12	P35240	P35240	12	12	12	69.689	22.9	0.605557	5.79E-03	30.0923	0	29.8774	0	29.9904	0	29.4794	0	29.1932	0	29.4709	0	396
	RAD21	Double-strand-break repair protein rad21 homolog	10	10	O60216;Q9H4I0	O60216	10;1	10;1	10;1	71.689	18.4	0.693466	1.04E-02	30.1282	0	30.1183	0	29.9429	0	29.65	0	29.2274	0	29.2316	0	
	KIF1A	Kinesin-like protein KIF1A	18	16	Q12756	Q12756	18	18	16	191.06	12.4	-0.562939	2.29E-04	29.7417	0	29.7662	0	29.6658	0	30.2216	0	30.32	0	30.321	0	
	CALU	Calumenin	6	6	O43852	O43852	6	6	6	37.106	18.4	0.508799	5.78E-04	29.7804	0	29.8266	0	29.7002	0	29.2875	0	29.3035	0	29.1898	0	
	TALDO1	Transaldolase	6	6	P37837	P37837	6	6	6	37.54	16.9	0.476795	1.88E-02	29.9245	0	29.5362	0	29.8718	0	29.2439	0	29.3253	0	29.333	0	277
	CDK5RAP3	CDK5 regulatory subunit-associated protein 3	9	9	Q96JB5	Q96JB5	9	9	9	56.92	19.4	-0.448588	9.14E-03	29.0041	0	28.9978	0	28.7218	0	29.3233	0	29.3884	0	29.3577	0	
	PYGL	Glycogen phosphorylase, liver form	9	9	P06737;P11217;P11216	P06737	9;4;3	9;4;3	9;4;3	97.147	9.9	0.510443	4.89E-02	29.2886	0	28.7437	0	29.0364	0	28.6845	0	28.3696	0	28.4834	0	
	SET;SETSIP	Protein SET;Protein SETSIP	4	4	Q01105;P0DME0	Q01105;P0DME0	4;3	4;3	4;3	33.488	15.9	0.65052	1.76E-02	29.3679	0	28.9533	0	28.9607	0	28.6338	0	28.3631	0	28.3334	0	
	PDIA4	Protein disulfide-isomerase A4	7	7	P13667	P13667	7	7	7	72.932	12.1	-0.447925	1.57E-02	28.2281	0	28.4991	0	28.1777	0	28.6574	0	28.768	0	28.8232	0	
	STAT3	Signal transducer and activator of transcription 3	8	8	P40763	P40763	8	8	8	88.067	14.9	-0.902871	1.19E-02	27.5287	0	28.0865	0	28.1746	0	28.7543	0	28.8517	0	28.8923	0	
	PSMA3	Proteasome subunit alpha type-3	5	5	P25788	P25788	5	5	5	28.433	20.4	-0.710939	8.73E-03	28.3709	0	28.3435	0	28.4686	0	28.9567	0	29.3924	0	28.9668	0	
	API5	Apoptosis inhibitor 5	8	8	Q9BZZ5	Q9BZZ5	8	8	8	59.004	17.7	0.282176	3.14E-02	28.9006	0	28.6251	0	28.8671	0	28.5132	0	28.5215	0	28.5115	0	
	CSTF3	Cleavage stimulation factor subunit 3	6	6	Q12996	Q12996	6	6	6	82.921	9.9	0.744174	2.05E-02	28.6143	0	28.5653	0	29.0778	0	28.0245	0	28.1998	0	27.8005	0	
	TOP1	DNA topoisomerase 1	8	8	P11387;Q969P6	P11387	8;2	8;2	8;2	90.725	10.5	0.665946	2.56E-02	28.9932	0	28.541	0	28.5214	0	28.2126	0	28.0287	0	27.8165	0	
	FANCI	Fanconi anemia group I protein	13	13	Q9NVI1	Q9NVI1	13	13	13	149.32	12	0.271086	7.33E-03	28.6255	0	28.7602	0	28.6527	0	28.4128	0	28.4664	0	28.3459	0	
	CUL1	Cullin-1	6	6	Q13616	Q13616	6	6	6	89.677	6.8	0.399872	2.29E-04	28.5174	0	28.4163	0	28.4834	0	28.0522	0	28.0742	0	28.0911	0	
	INTS3	Integrator complex subunit 3	5	5	Q68E01	Q68E01	5	5	5	118.07	5.8	0.537408	4.73E-02	28.2946	0	28.6359	0	28.7318	0	27.9542	0	27.8191	0	28.2767	0	
	DDX39A;DDX39B	ATP-dependent RNA helicase DDX39A;Spliceosome RNA helicase DDX39B	4	4	O00148;Q13838	O00148;Q13838	4;4	4;4	4;4	49.129	8.7	0.574401	2.10E-03	28.6595	0	28.5593	0	28.7255	0	28.088	0	27.9544	0	28.1786	0	
