Leading Gene names	Gene names	Protein names	Total Peptides	Unique peptides	Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Mol. weight [kDa]	Sequence coverage [%]	Fold Change RNAi/CONTROL	p-value	LFQ intensity RNAi_1	Imputed (0=no/1=yes)	LFQ intensity RNAi_2	Imputed (0=no/1=yes)	LFQ intensity RNAi_3	Imputed (0=no/1=yes)	LFQ intensity Control_1	Imputed (0=no/1=yes)	LFQ intensity Control_2	Imputed (0=no/1=yes)	LFQ intensity Control_3	Imputed (0=no/1=yes)	GlyGly (K) site positions
PDIA4	PDIA4	Protein disulfide-isomerase A4	30	30	P13667	P13667	30	30	30	72.932	45.3	2.00	7.0E-05	32.5138	0	32.512	0	32.513	0	31.5512	0	31.585	0	31.3937	0	245
ZNF598	ZNF598	Zinc finger protein 598	24	24	Q86UK7-2;Q86UK7-3;Q86UK7;Q86UK7-4	Q86UK7-2;Q86UK7-3;Q86UK7	24;24;24;6	24;24;24;6	24;24;24;6	97.805	31.2	2.28	2.3E-04	31.7692	0	31.7112	0	31.6492	0	30.4709	0	30.6944	0	30.404	0	204;263
ZC3H15	ZC3H15	Zinc finger CCCH domain-containing protein 15	16	16	Q8WU90;Q8WU90-2	Q8WU90	16;7	16;7	16;7	48.602	38	2.12	2.5E-04	30.3814	0	30.2037	0	30.3977	0	29.1372	0	29.2424	0	29.3537	0	51
GPRASP2	GPRASP2	G-protein coupled receptor-associated sorting protein 2	18	18	Q96D09;Q5JY77	Q96D09	18;2	18;2	18;2	93.772	26.7	2.37	5.7E-04	30.3264	0	30.5054	0	30.3109	0	28.9236	0	29.1943	0	29.2846	0	
CEP170	CEP170	Centrosomal protein of 170 kDa	32	32	Q5SW79;Q5SW79-2;Q5SW79-3;Q96L14	Q5SW79;Q5SW79-2;Q5SW79-3	32;31;31;6	32;31;31;6	32;31;31;6	175.29	25.2	2.08	3.6E-03	30.4268	0	30.6005	0	30.13	0	29.3335	0	29.5047	0	29.1429	0	
FKBP1A	FKBP1A	Peptidyl-prolyl cis-trans isomerase FKBP1A	3	3	P62942	P62942	3	3	3	11.951	41.7	8.22	4.1E-02	27.8997	0	28.2835	0	25.101	1	23.6507	1	24.336	1	24.1781	1	
LMAN2	LMAN2	Vesicular integral-membrane protein VIP36	4	4	Q12907	Q12907	4	4	4	40.228	16	12.76	4.0E-02	24.7816	1	28.6441	0	28.1863	0	23.5171	1	23.405	1	23.6678	1	
RPS25	RPS25	40S ribosomal protein S25	2	2	P62851	P62851	2	2	2	13.742	14.4	12.00	1.9E-03	27.2762	0	26.6341	0	27.1616	0	23.5715	1	22.6038	1	24.1414	1	
RNF10	RNF10	RING finger protein 10	4	4	Q8N5U6;Q8N5U6-2	Q8N5U6;Q8N5U6-2	4;4	4;4	4;4	89.926	6.9	15.34	3.4E-05	28.5716	0	28.3835	0	28.1901	0	24.4229	1	24.7254	1	24.179	1	
AAMP	AAMP	Angio-associated migratory cell protein	3	3	Q13685	Q13685	3	3	3	46.75	8.5	6.84	9.4E-03	26.9567	0	27.7633	0	26.6822	0	25.2795	1	24.214	1	23.5856	1	
